relation	predicate	count
BFO:0000050	biolink:part_of	2
BFO:0000051	biolink:has_part	30
IAO:0000039	biolink:has_unit	1
IAO:0000136	biolink:related_to	105
IAO:0000219	biolink:related_to	1
IAO:0000221	biolink:related_to	1
OBI:0000293	biolink:has_participant	6
OBI:0000299	biolink:has_output	5
OBI:0000312	biolink:related_to	3
RO:0000057	biolink:has_participant	11
http://semanticscience.org/resource/CHEMINF_000047	biolink:related_to	13
http://semanticscience.org/resource/CHEMINF_000143	biolink:related_to	49
http://semanticscience.org/resource/CHEMINF_000145	biolink:related_to	1
http://semanticscience.org/resource/CHEMINF_000148	biolink:related_to	1
http://semanticscience.org/resource/CHEMINF_000330	biolink:related_to	3
http://semanticscience.org/resource/CHEMINF_000331	biolink:related_to	4
http://semanticscience.org/resource/CHEMINF_000606	biolink:related_to	9
http://www.obofoundry.org/ro/ro.owl#has_proper_part	biolink:related_to	2
http://www.semanticweb.org/ontologies/is_output_of	biolink:related_to	22
inverseOf	biolink:inverseOf	35
rdfs:subClassOf	biolink:subclass_of	851
subPropertyOf	biolink:subPropertyOf	61
type	biolink:type	19
