relation	predicate	count
BFO:0000050	biolink:part_of	21
BFO:0000051	biolink:has_part	288
BFO:0000055	biolink:has_part	11
BFO:0000067	biolink:occurs_in	4
IAO:0000039	biolink:has_unit	8
IAO:0000136	biolink:related_to	36
IAO:0000219	biolink:related_to	3
IAO:0000221	biolink:related_to	4
IAO:0000413	biolink:related_to	1
OBI:0000107	biolink:related_to	1
OBI:0000124	biolink:related_to	2
OBI:0000293	biolink:has_participant	138
OBI:0000299	biolink:has_output	177
OBI:0000312	biolink:related_to	50
OBI:0000417	biolink:related_to	252
OBI:0000643	biolink:related_to	15
OBI:0001927	biolink:has_attribute	1
OBI:0001938	biolink:related_to	3
RO:0000052	biolink:related_to	20
RO:0000053	biolink:related_to	1
RO:0000056	biolink:participates_in	1
RO:0000057	biolink:has_participant	18
RO:0000079	biolink:related_to	2
RO:0000081	biolink:related_to	1
RO:0000085	biolink:related_to	228
RO:0000087	biolink:has_attribute	21
RO:0001000	biolink:derives_from	11
RO:0002087	biolink:preceded_by	2
inverseOf	biolink:inverseOf	24
rdfs:subClassOf	biolink:subclass_of	4069
subPropertyOf	biolink:subPropertyOf	66
type	biolink:type	304
