relation	predicate	count
BFO:0000050	biolink:part_of	2
BFO:0000051	biolink:has_part	30
BFO:0000054	biolink:related_to	2
BFO:0000113	biolink:related_to	4
IAO:0000039	biolink:has_unit	1
IAO:0000136	biolink:related_to	24
IAO:0000219	biolink:related_to	1
IAO:0000221	biolink:related_to	1
IDO:0000664	biolink:contributes_to	1
OBI:0000293	biolink:has_participant	5
OBI:0000299	biolink:has_output	9
OBI:0001938	biolink:related_to	2
OBO:HTN_00000028	biolink:related_to	1
RO:0000052	biolink:related_to	1
RO:0000057	biolink:has_participant	3
RO:0000059	biolink:related_to	1
RO:0002200	biolink:has_phenotype	2
RO:0002573	biolink:related_to	1
RO:0004022	biolink:has_phenotype	1
http://purl.org/obo/owl/OBO_REL#exists_during	biolink:related_to	2
inverseOf	biolink:inverseOf	58
rdfs:subClassOf	biolink:subclass_of	625
subPropertyOf	biolink:subPropertyOf	264
