relation	predicate	count
BFO:0000050	biolink:part_of	2
BFO:0000051	biolink:has_part	29
DUO:0000010	biolink:related_to	3
IAO:0000039	biolink:has_unit	1
IAO:0000136	biolink:related_to	13
IAO:0000219	biolink:related_to	1
IAO:0000221	biolink:related_to	1
OBI:0000293	biolink:has_participant	6
OBI:0000299	biolink:has_output	5
OBI:0000312	biolink:related_to	1
RO:0000057	biolink:has_participant	3
inverseOf	biolink:inverseOf	19
rdfs:subClassOf	biolink:subclass_of	300
subPropertyOf	biolink:subPropertyOf	26
type	biolink:type	19
