relation	predicate	count
BFO:0000050	biolink:related_to	1
BFO:0000051	biolink:related_to	14
IAO:0000136	biolink:related_to	6
OBI:0000124	biolink:related_to	1
OBI:0000293	biolink:related_to	8
OBI:0000299	biolink:related_to	12
OBI:0000312	biolink:related_to	1
OBI:0000417	biolink:related_to	1
OBI:0001950	biolink:related_to	2
RO:0000086	biolink:related_to	2
STATO:0000102	biolink:related_to	4
http://www.ebi.ac.uk/swo/SWO_0004002	biolink:related_to	1
http://www.obofoundry.org/ro/ro.owl#derives_from	biolink:related_to	2
inverseOf	biolink:inverseOf	26
rdfs:subClassOf	biolink:subclass_of	1593
subPropertyOf	biolink:subPropertyOf	88
