relation	predicate	count
CDAO:0000142	biolink:related_to	2
CDAO:0000153	biolink:related_to	1
CDAO:0000155	biolink:related_to	1
CDAO:0000168	biolink:related_to	1
CDAO:0000170	biolink:related_to	1
CDAO:0000174	biolink:related_to	1
CDAO:0000176	biolink:related_to	1
CDAO:0000177	biolink:related_to	2
CDAO:0000178	biolink:related_to	2
CDAO:0000188	biolink:related_to	1
CDAO:0000190	biolink:related_to	4
CDAO:0000193	biolink:related_to	1
CDAO:0000195	biolink:related_to	1
CDAO:0000199	biolink:related_to	1
CDAO:0000201	biolink:related_to	1
CDAO:0000202	biolink:related_to	1
CDAO:0000207	biolink:related_to	1
CDAO:0000208	biolink:related_to	1
inverseOf	biolink:inverseOf	9
rdfs:subClassOf	biolink:subclass_of	156
subPropertyOf	biolink:subPropertyOf	53
type	biolink:type	26
